[ADMIN_ACCESS_SUCCESS] 2026-04-05T09:14:47.943Z | GET /dashboard | ip=192.168.1.2 | host=192.168.1.5:3000 | origin=direct | referer=http://192.168.1.5:3000/frontend/pages/about.html | userAgent=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-05T09:14:50.945Z | GET /api/admin/summary | ip=192.168.1.2 | host=192.168.1.5:3000 | origin=direct | referer=http://192.168.1.5:3000/dashboard | userAgent=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-05T09:14:54.169Z | GET /dashboard | ip=192.168.1.2 | host=192.168.1.5:3000 | origin=direct | referer=http://192.168.1.5:3000/frontend/pages/about.html | userAgent=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-05T09:14:54.885Z | GET /api/admin/summary | ip=192.168.1.2 | host=192.168.1.5:3000 | origin=direct | referer=http://192.168.1.5:3000/dashboard | userAgent=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-05T09:54:01.090Z | GET /dashboard | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=http://localhost:3000/frontend/pages/about.html | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-05T09:54:02.769Z | GET /api/admin/summary | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=http://localhost:3000/dashboard | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-05T09:54:14.645Z | GET /api/admin/categories | ip=127.0.0.1 | host=localhost:3000 | origin=direct | referer=http://localhost:3000/dashboard | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-05T09:54:37.198Z | POST /api/admin/change-password | ip=127.0.0.1 | host=localhost:3000 | origin=http://localhost:3000 | referer=http://localhost:3000/dashboard | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_SUCCESS] 2026-04-05T09:54:51.347Z | POST /api/admin/change-password | ip=127.0.0.1 | host=localhost:3000 | origin=http://localhost:3000 | referer=http://localhost:3000/dashboard | userAgent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 | reason=authenticated
[ADMIN_ACCESS_FAILED] 2026-04-05T09:57:03.370Z | GET /dashboard | ip=192.168.1.2 | host=192.168.1.5:3000 | origin=direct | referer=http://192.168.1.5:3000/frontend/pages/about.html | userAgent=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 | reason=missing_credentials
